date,BIST100,USD_TRY,advancing_stocks,declining_stocks,CPI,CBRT_Rate,5Y_CDS_Spread
2014-10-09,752.0760498046875,2.2619500160217285,10,1,8.86,8.25,192.85
2014-10-10,734.9370727539062,2.2699899673461914,0,10,8.86,8.25,198.1
2014-10-13,751.1530151367188,2.2843799591064453,9,1,8.86,8.25,197.65
2014-10-14,746.862060546875,2.270359992980957,0,10,8.86,8.25,196.11
2014-10-15,748.5560302734375,2.273289918899536,5,5,8.86,8.25,199.91
2014-10-16,745.7550048828125,2.2695701122283936,3,7,8.86,8.25,201.48
2014-10-17,755.3289794921875,2.260859966278076,9,1,8.86,8.25,188.42
2014-10-20,763.3099975585938,2.244839906692505,7,2,8.86,8.25,189.29
2014-10-21,776.451904296875,2.243259906768799,9,1,8.86,8.25,182.97
2014-10-22,780.8038330078125,2.243839979171753,6,1,8.86,8.25,182.74
2014-10-23,794.9428100585938,2.2452399730682373,8,1,8.86,8.25,183.52
2014-10-24,794.1668090820312,2.2350499629974365,5,4,8.86,8.25,183.44
2014-10-27,792.3497924804688,2.230910062789917,3,6,8.86,8.25,182.47
2014-10-28,795.8867797851562,2.229569911956787,6,3,8.86,8.25,176.1
2014-10-30,798.9818115234375,2.2144999504089355,6,4,8.86,8.25,174.1
2014-10-31,805.792724609375,2.198539972305298,8,1,8.96,8.25,173.14
2014-11-03,800.2747192382812,2.227260112762451,4,6,8.96,8.25,174.1
2014-11-04,802.677734375,2.2329599857330322,7,3,8.96,8.25,176.07
2014-11-05,789.5567626953125,2.220720052719116,1,9,8.96,8.25,177.06
2014-11-06,775.0989379882812,2.2437899112701416,4,5,8.96,8.25,178.04
2014-11-07,779.5738525390625,2.266160011291504,9,1,8.96,8.25,178.02
2014-11-10,777.4298706054688,2.2559800148010254,4,5,8.96,8.25,174.13
2014-11-11,784.0298461914062,2.25819993019104,7,2,8.96,8.25,174.14
2014-11-12,803.9447021484375,2.2554900646209717,8,1,8.96,8.25,172.13
2014-11-13,808.7567138671875,2.2506299018859863,8,1,8.96,8.25,170.7
2014-11-14,812.1116943359375,2.242460012435913,4,5,8.96,8.25,173.19
2014-11-17,804.9937133789062,2.229480028152466,1,9,8.96,8.25,173.67
2014-11-18,813.294677734375,2.229979991912842,6,2,8.96,8.25,171.69
2014-11-19,814.6116943359375,2.220439910888672,3,6,8.96,8.25,170.96
2014-11-20,825.1146240234375,2.2309999465942383,8,1,8.96,8.25,166.79
2014-11-21,832.8135986328125,2.22025990486145,5,3,8.96,8.25,166.31
2014-11-24,832.515625,2.220979928970337,3,6,8.96,8.25,169.01
2014-11-25,835.300537109375,2.228800058364868,7,1,8.96,8.25,167.06
2014-11-26,842.4285278320312,2.218369960784912,4,4,8.96,8.25,165.84
2014-11-27,846.8804931640625,2.209559917449951,5,2,8.96,8.25,165.36
2014-11-28,861.6824340820312,2.205780029296875,8,1,8.96,8.25,161.42
2014-12-01,861.4684448242188,2.219399929046631,6,4,9.15,8.25,159.98
2014-12-02,849.1474609375,2.213469982147217,4,6,9.15,8.25,153.56
2014-12-03,849.146484375,2.2295100688934326,1,8,9.15,8.25,156.53
2014-12-04,862.33642578125,2.2383599281311035,6,3,9.15,8.25,155.53
2014-12-05,852.3944702148438,2.2332799434661865,2,7,9.15,8.25,157.52
2014-12-08,848.1824951171875,2.258929967880249,2,8,9.15,8.25,163.9
2014-12-09,835.2685546875,2.2675700187683105,2,7,9.15,8.25,169.84
2014-12-10,841.258544921875,2.2649600505828857,7,2,9.15,8.25,178.1
2014-12-11,847.177490234375,2.2647500038146973,8,2,9.15,8.25,174.75
2014-12-12,832.2595825195312,2.279939889907837,3,7,9.15,8.25,195.58
2014-12-15,828.0396118164062,2.302309989929199,4,5,9.15,8.25,208.54
2014-12-16,791.9077758789062,2.354749917984009,0,10,9.15,8.25,220.56
2014-12-17,808.2026977539062,2.3595499992370605,6,2,9.15,8.25,192.81
2014-12-18,832.2576293945312,2.3357300758361816,10,1,9.15,8.25,179.53
2014-12-19,835.7315673828125,2.3216700553894043,8,2,9.15,8.25,179.58
2014-12-22,851.4334716796875,2.312649965286255,9,1,9.15,8.25,174.56
2014-12-23,844.8755493164062,2.3127100467681885,2,8,9.15,8.25,175.08
2014-12-24,848.2124633789062,2.318660020828247,7,2,9.15,8.25,175.04
2014-12-25,848.240478515625,2.3133599758148193,4,2,9.15,8.25,175.05
2014-12-26,849.468505859375,2.317739963531494,5,3,9.15,8.25,175.05
2014-12-29,841.0135498046875,2.319770097732544,1,9,9.15,8.25,175.06
2014-12-30,845.3665161132812,2.3167600631713867,5,4,9.15,8.25,176.53
2014-12-31,857.2064208984375,2.32273006439209,9,1,8.17,8.25,176.54
2015-01-02,854.58447265625,2.330980062484741,7,2,8.17,8.25,183.43
2015-01-05,864.6213989257812,2.34224009513855,10,1,8.17,8.25,187.31
2015-01-06,869.0913696289062,2.330749988555908,5,2,8.17,8.25,189.17
2015-01-07,867.7614135742188,2.3236100673675537,3,6,8.17,8.25,188.27
2015-01-08,876.891357421875,2.3175699710845947,7,2,8.17,8.25,181.72
2015-01-09,876.4793701171875,2.2981998920440674,3,6,8.17,8.25,186.73
2015-01-12,878.642333984375,2.2927699089050293,4,5,8.17,8.25,188.28
2015-01-13,883.1303100585938,2.2842700481414795,3,7,8.17,8.25,181.95
2015-01-14,875.63037109375,2.282370090484619,2,8,8.17,8.25,176.55
2015-01-15,877.42333984375,2.281219959259033,3,7,8.17,8.25,174.54
2015-01-16,874.1593627929688,2.3053200244903564,4,6,8.17,8.25,183.78
2015-01-19,880.0603637695312,2.330970048904419,2,6,8.17,8.25,183.71
2015-01-20,892.000244140625,2.331860065460205,6,3,8.17,8.25,184.35
2015-01-21,903.1232299804688,2.3454599380493164,5,3,8.17,8.25,182.88
2015-01-22,909.023193359375,2.3489699363708496,8,1,8.17,7.75,179.49
2015-01-23,907.356201171875,2.3262600898742676,5,5,8.17,7.75,176.47
2015-01-26,914.1242065429688,2.36296010017395,8,2,8.17,7.75,178.55
2015-01-27,911.4961547851562,2.3560099601745605,3,5,8.17,7.75,178.03
2015-01-28,903.4111938476562,2.363140106201172,3,7,8.17,7.75,178.51
2015-01-29,885.5733032226562,2.3869199752807617,1,8,8.17,7.75,183.51
2015-01-30,889.4533081054688,2.415489912033081,1,4,8.17,7.75,183.42
2015-02-02,897.1232299804688,2.440200090408325,4,4,7.24,7.75,186.4
2015-02-03,875.0803833007812,2.430759906768799,2,6,7.24,7.75,181.47
2015-02-04,859.096435546875,2.40159010887146,3,7,7.24,7.75,186.8
2015-02-05,857.888427734375,2.459939956665039,3,5,7.24,7.75,186.95
2015-02-06,849.8695068359375,2.435810089111328,1,9,7.24,7.75,192.24
2015-02-09,845.7384643554688,2.4717600345611572,0,8,7.24,7.75,198.5
2015-02-10,831.1596069335938,2.4747300148010254,2,5,7.24,7.75,203.49
2015-02-11,834.29052734375,2.494309902191162,5,4,7.24,7.75,200.52
2015-02-12,860.8214111328125,2.498110055923462,9,1,7.24,7.75,188.57
2015-02-13,858.0884399414062,2.4674999713897705,4,6,7.24,7.75,188.35
2015-02-16,860.4004516601562,2.455970048904419,6,2,7.24,7.75,187.84
2015-02-17,844.2445678710938,2.454859972000122,1,8,7.24,7.75,186.37
2015-02-18,854.4124755859375,2.4514999389648438,10,1,7.24,7.75,186.36
2015-02-19,864.138427734375,2.443310022354126,6,2,7.24,7.75,185.47
2015-02-20,854.8844604492188,2.453200101852417,1,9,7.24,7.75,185.37
2015-02-23,862.87841796875,2.452500104904175,10,1,7.24,7.75,185.38
2015-02-24,866.9074096679688,2.471820116043091,5,3,7.24,7.75,184.92
2015-02-25,867.3304443359375,2.4628500938415527,4,5,7.24,7.75,189.41
2015-02-26,859.1494140625,2.4872000217437744,1,8,7.24,7.5,188.36
2015-02-27,841.4705200195312,2.504470109939575,2,7,7.24,7.5,201.52
2015-03-02,839.4645385742188,2.506089925765991,4,4,7.24,7.5,199.2
2015-03-03,843.0345458984375,2.520709991455078,6,4,7.55,7.5,200.57
2015-03-04,820.6676635742188,2.53262996673584,1,9,7.55,7.5,207.9
2015-03-05,807.791748046875,2.5620200634002686,1,8,7.55,7.5,214.3
2015-03-06,803.0977172851562,2.6057300567626953,3,6,7.55,7.5,215.43
2015-03-09,806.44970703125,2.6226999759674072,6,3,7.55,7.5,216.23
2015-03-10,779.7708740234375,2.6031200885772705,0,10,7.55,7.5,224.67
2015-03-11,782.765869140625,2.6362900733947754,6,3,7.55,7.5,218.83
2015-03-12,782.9278564453125,2.6112399101257324,4,6,7.55,7.5,211.88
2015-03-13,766.4169311523438,2.5859899520874023,0,9,7.55,7.5,218.85
2015-03-16,781.9528198242188,2.629879951477051,10,1,7.55,7.5,212.6
2015-03-17,800.302734375,2.622889995574951,9,1,7.55,7.5,207.92
2015-03-18,799.4187622070312,2.6107499599456787,4,5,7.55,7.5,209.89
2015-03-19,819.2156372070312,2.5696499347686768,9,1,7.55,7.5,205.76
2015-03-20,825.0596313476562,2.602289915084839,7,2,7.55,7.5,206.82
2015-03-23,837.41552734375,2.5772199630737305,8,2,7.55,7.5,205.92
2015-03-24,820.3216552734375,2.540570020675659,3,6,7.55,7.5,208.8
2015-03-25,826.4876098632812,2.5554299354553223,9,1,7.55,7.5,211.27
2015-03-26,814.8196411132812,2.5859899520874023,0,9,7.55,7.5,217.19
2015-03-27,808.937744140625,2.6029999256134033,2,8,7.55,7.5,214.7
2015-03-30,821.835693359375,2.6113998889923096,7,1,7.55,7.5,216.46
2015-03-31,808.4557495117188,2.60260009765625,1,1,7.61,7.5,215.2
2015-04-01,812.0806884765625,2.5959599018096924,1,8,7.61,7.5,214.17
2015-04-02,816.7596435546875,2.596859931945801,9,1,7.61,7.5,213.71
2015-04-03,829.9385986328125,2.58870005607605,9,1,7.61,7.5,213.72
2015-04-06,831.297607421875,2.566270112991333,7,1,7.61,7.5,213.73
2015-04-07,824.6546020507812,2.570580005645752,3,7,7.61,7.5,213.01
2015-04-08,827.9896240234375,2.600939989089966,7,1,7.61,7.5,207.55
2015-04-09,835.1315307617188,2.59768009185791,10,1,7.61,7.5,208.3
2015-04-10,826.45361328125,2.618769884109497,2,8,7.61,7.5,211.77
2015-04-13,819.3716430664062,2.626620054244995,4,6,7.61,7.5,215.97
2015-04-14,823.192626953125,2.6681900024414062,3,6,7.61,7.5,222.05
2015-04-15,813.5706787109375,2.6868999004364014,2,8,7.61,7.5,230.52
2015-04-16,824.3626098632812,2.6975600719451904,9,1,7.61,7.5,229.05
2015-04-17,824.172607421875,2.680619955062866,1,8,7.61,7.5,229.6
2015-04-20,823.0216064453125,2.6809298992156982,5,4,7.61,7.5,232.31
2015-04-21,842.7725219726562,2.6955299377441406,9,1,7.61,7.5,228.05
2015-04-22,837.799560546875,2.6844699382781982,6,4,7.61,7.5,229.82
2015-04-24,855.5084838867188,2.7034499645233154,8,1,7.61,7.5,227.84
2015-04-27,864.014404296875,2.7196600437164307,6,3,7.61,7.5,223.16
2015-04-28,862.0903930664062,2.6773200035095215,4,5,7.61,7.5,217.2
2015-04-29,859.7794189453125,2.657259941101074,4,5,7.61,7.5,220.15
2015-04-30,839.4655151367188,2.656749963760376,1,8,7.61,7.5,223.17
2015-05-04,840.1845703125,2.711280107498169,4,4,7.91,7.5,223.13
2015-05-05,833.8026123046875,2.7133500576019287,1,7,7.91,7.5,222.87
2015-05-06,824.4096069335938,2.705080032348633,2,8,7.91,7.5,220.15
2015-05-07,825.6976318359375,2.693589925765991,5,5,7.91,7.5,221.16
2015-05-08,840.5945434570312,2.6877501010894775,9,1,7.91,7.5,218.7
2015-05-11,847.5234985351562,2.690999984741211,9,1,7.91,7.5,213.97
2015-05-12,853.6304931640625,2.6924901008605957,5,4,7.91,7.5,216.68
2015-05-13,864.17041015625,2.660099983215332,7,3,7.91,7.5,212.03
2015-05-14,872.432373046875,2.629689931869507,5,2,7.91,7.5,210.27
2015-05-15,876.0443725585938,2.5910398960113525,4,5,7.91,7.5,207.35
2015-05-18,886.5142822265625,2.576119899749756,9,1,7.91,7.5,207.58
2015-05-20,877.9063720703125,2.591020107269287,6,4,7.91,7.5,205.33
2015-05-21,865.6454467773438,2.5782198905944824,1,7,7.91,7.5,204.39
2015-05-22,858.034423828125,2.59089994430542,5,4,7.91,7.5,201.41
2015-05-25,845.6654663085938,2.599440097808838,0,9,7.91,7.5,201.42
2015-05-26,836.4895629882812,2.614449977874756,2,6,7.91,7.5,206.34
